Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010
Jordan,CAIT,Total including LUCF,CO2,MtCO₂e,24.7,26.1,24.86,25.36,25.59,23.8,24.12,20.76,20.2
Mongolia,CAIT,Total including LUCF,CO2,MtCO₂e,24.42,22.56,21.28,20.48,21.3,21.55,20.31,18.9,18.42
Chad,CAIT,Total including LUCF,CO2,MtCO₂e,24.4,24.36,24.35,26.87,26.83,26.82,26.79,26.72,17.7
Dominican Republic,CAIT,Total including LUCF,CO2,MtCO₂e,23.56,21.83,22.9,22.27,20.14,20.07,20.47,19.7,18.7
Sri Lanka,CAIT,Total including LUCF,CO2,MtCO₂e,23.54,25.22,23.85,20.97,18.22,15.11,17.47,16.07,15.53
Uganda,CAIT,Total including LUCF,CO2,MtCO₂e,21.95,21.66,21.5,20.69,20.57,20.1,19.74,19.99,19.68
Cuba,CAIT,Total including LUCF,CO2,MtCO₂e,21.92,22.6,25.4,14.78,14.17,14.64,16.14,15.83,20.01
New Zealand,CAIT,Total including LUCF,CO2,MtCO₂e,21.59,22.31,20.57,15.47,15.07,15.03,15.3,13.64,8.3
Guatemala,CAIT,Total including LUCF,CO2,MtCO₂e,21.48,19.78,20.73,24.05,21.66,20.72,19.86,19.45,25.16
North Korea,CAIT,Total including LUCF,CO2,MtCO₂e,21.41,25.67,33.38,28.5,34.62,31.02,41.7,40.24,53.32
Bosnia and Herzegovina,CAIT,Total including LUCF,CO2,MtCO₂e,20.81,20.91,20.6,15.9,15.77,18.13,18.25,20.02,21.19
Sweden,CAIT,Total including LUCF,CO2,MtCO₂e,19.68,21.76,22.14,17,16.89,18.3,19.9,22.31,37.15
Benin,CAIT,Total including LUCF,CO2,MtCO₂e,18.62,18.07,17.94,16.7,16.22,15.73,15.45,15.69,15.8
Norway,CAIT,Total including LUCF,CO2,MtCO₂e,18.43,17.95,18.99,19.7,19.34,19.27,20.16,21.2,19.05
Somalia,CAIT,Total including LUCF,CO2,MtCO₂e,18.04,18.01,18.01,18,18,18.01,17.98,17.99,17.98
Estonia,CAIT,Total including LUCF,CO2,MtCO₂e,17.96,18.21,17.58,9.21,11.67,13.04,10.63,11.9,17.58
Trinidad and Tobago,CAIT,Total including LUCF,CO2,MtCO₂e,17.88,18.32,18.35,21.37,22.03,22.84,22.23,23.3,22.76
Guyana,CAIT,Total including LUCF,CO2,MtCO₂e,16.51,16.39,16.39,18.76,18.77,18.7,18.74,18.58,10.84
Guinea,CAIT,Total including LUCF,CO2,MtCO₂e,15.35,15.19,15.04,13.68,13.38,13.31,13.62,13.75,13.58
Honduras,CAIT,Total including LUCF,CO2,MtCO₂e,15.3,14.53,14.92,15.76,15.36,15.24,15.04,14.68,13.56
Nepal,CAIT,Total including LUCF,CO2,MtCO₂e,14.97,13.98,12.3,9.48,10.15,9.1,9.01,8.21,0.48
Namibia,CAIT,Total including LUCF,CO2,MtCO₂e,14.81,14.89,14.92,14.83,14.56,14.38,14.1,13.88,13.69
Liberia,CAIT,Total including LUCF,CO2,MtCO₂e,14.76,14.7,14.85,14.7,14.66,14.36,14.4,14.29,14.17
Panama,CAIT,Total including LUCF,CO2,MtCO₂e,14.53,14.65,15.17,15.1,15.68,15,14.86,14.39,13.58
Slovenia,CAIT,Total including LUCF,CO2,MtCO₂e,14.39,14.49,14.27,10.54,10.55,11.97,12.54,13.1,4.28
Central African Republic,CAIT,Total including LUCF,CO2,MtCO₂e,14.31,14.29,14.29,14.28,14.28,14.27,14.27,14.26,14.24
Senegal,CAIT,Total including LUCF,CO2,MtCO₂e,14.19,13.9,14.25,13.76,13.04,12.48,11.93,12.04,13.39
Republic of Congo,CAIT,Total including LUCF,CO2,MtCO₂e,13.69,13.66,13.76,12.91,13.55,13.41,14.11,13.99,14.02
